r_fighter,b_fighter,winner,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg
Amanda Ribas,Rose Namajunas,Blue,0,83,270,0.3,137,342,0.4,4,8,0.5,0,0,98,12,5,4.63,3.4,0.4,0.51,0.61,0.85,0.7,2.07,0,93,188,0.49,169,281,0.6,1,3,0.33,0,1,419,13,6,3.69,3.51,0.41,0.47,0.63,0.59,0.5,1.38
Karl Williams,Justin Tafa,Red,0,40,61,0.65,123,176,0.7,7,12,0.58,1,0,631,10,1,2.87,1.7,0.52,0.5,0.6,1,0.2,4.75,0,21,43,0.48,27,50,0.54,0,0,0,0,0,0,7,4,4.09,5.02,0.54,0,0.47,0.5,0,0
Edmen Shahbazyan,AJ Dobson,Red,1,27,43,0.62,31,51,0.61,1,3,0.33,0,0,49,13,4,3.6,4.09,0.52,0.38,0.45,0.63,0.6,2.24,0,15,46,0.32,20,54,0.37,0,0,0,0,1,75,7,3,4.29,5.31,0.46,0.75,0.46,0.65,0.3,1.67
Payton Talbott,Cameron Saaiman,Red,1,79,129,0.61,83,135,0.61,0,1,0,0,0,30,8,0,8.05,3.58,0.54,0,0.51,0.9,0.5,0,0,31,64,0.48,33,66,0.5,0,3,0,0,0,0,9,2,5.32,4.18,0.46,0.28,0.51,0.47,0.7,0.91
Billy Quarantillo,Youssef Zalal,Blue,0,10,50,0.2,26,74,0.35,0,0,0,0,0,21,18,6,7.36,5.57,0.56,0.23,0.43,0.61,1.1,1.24,0,33,56,0.58,37,62,0.6,2,2,1,2,0,175,14,5,2.88,1.73,0.49,0.34,0.65,0.6,1.3,2.28
Fernando Padilla,Luis Pajuelo,Red,1,34,61,0.55,35,64,0.55,0,0,0,1,0,47,16,5,6.48,5.25,0.42,0,0.53,1,0.8,0,0,5,13,0.38,7,15,0.47,0,0,0,0,0,0,8,2,6.03,8.2,0.57,0,0.52,0.66,0,0
Kurt Holobaugh,Trey Ogden,Blue,0,29,68,0.42,129,188,0.69,0,0,0,0,0,10,21,8,4.37,4.07,0.43,0.36,0.48,0.46,0.9,0.71,0,35,66,0.53,225,320,0.7,3,4,0.75,0,0,669,17,6,3.38,3.59,0.47,0.23,0.58,1,0.6,1.64
Ricardo Ramos,Julian Erosa,Blue,0,7,17,0.41,12,23,0.52,2,3,0.66,0,0,87,16,6,3.21,3.74,0.37,0.6,0.57,0.72,0.7,3.02,0,4,11,0.36,11,21,0.52,0,0,0,1,0,0,29,12,6.14,6.29,0.48,0.46,0.47,0.58,0.8,1.63
Miles Johns,Cody Gibson,Red,0,25,79,0.31,64,137,0.47,2,8,0.25,0,1,389,14,2,3.28,2.55,0.47,0.22,0.68,0.85,0,1.15,0,18,62,0.29,52,108,0.48,1,7,0.14,0,0,115,20,10,4,4.08,0.43,0.28,0.57,0.68,0.2,1.28
Jarno Errens,Steven Nguyen,Red,1,105,207,0.5,106,208,0.51,0,1,0,0,0,12,14,5,3.44,3.36,0.46,0,0.63,0.28,0.3,0,0,63,226,0.27,63,227,0.28,1,1,1,0,0,23,9,2,7.15,7.36,0.4,1,0.6,0.84,0,0.28
Montserrat Rendon,Daria Zhelezniakova,Blue,0,25,147,0.17,28,156,0.18,3,6,0.5,0,0,324,6,1,3.13,3.9,0.28,0.54,0.54,1,0,3,0,57,150,0.38,73,171,0.43,0,0,0,0,0,1,9,1,3.8,1.67,0.38,0,0.82,0.5,0,0
Igor Severino,Andre Lima,Blue,0,36,78,0.46,40,85,0.47,5,9,0.55,0,0,180,8,1,7.17,4.33,0.52,0.71,0.47,0.5,0,9.69,0,30,58,0.51,38,66,0.58,1,2,0.5,2,0,24,8,0,3.98,2.67,0.6,0.66,0.6,0.61,1.3,1.31
Mohammed Usman,Mick Parkin,Blue,0,57,167,0.34,57,168,0.34,0,0,0,0,0,0,11,3,3.18,4.21,0.37,0.18,0.52,0,0,0.89,0,72,150,0.48,72,150,0.48,0,0,0,0,0,0,9,0,4.54,3.94,0.51,0.41,0.59,0.5,0.3,1.6
Tai Tuivasa,Marcin Tybura,Blue,0,15,24,0.62,18,27,0.67,0,0,0,0,0,0,15,7,3.96,5.05,0.49,0,0.43,0.57,0,0,0,27,41,0.65,73,96,0.76,1,4,0.25,1,0,168,25,8,3.6,3.35,0.48,0.33,0.55,0.79,0.1,1.43
Ovince Saint Preux,Kennedy Nzechukwu,Red,1,143,276,0.51,143,276,0.52,0,2,0,0,0,6,27,17,3.03,3.32,0.47,0.36,0.47,0.67,0.5,1.1,0,106,250,0.42,106,250,0.42,0,1,0,0,0,8,12,5,5.13,4.9,0.45,0.45,0.5,0.8,0.2,0.6
